name,alexa_rank,city,state,country,hq,website,employees_on_linkedin,followers,founded,industry,linkedin_url,overview,ownership_type,sic_codes,size,specialties,total_funding,technologies,company_hubs,events,categories,type
Supli,,Paris,Île-de-France,France,"Paris, Île-de-France",https://supli.com/,22,1074,2017,Restaurants,https://www.linkedin.com/company/supli,Libérez votre activité avec la plateforme des pros de la restauration !,Partnership,,11-50 employees,"saas, ERP, plateforme, restauration, grossiste, fournisseur, application de commandes, canal d'acquisition de nouveaux clients",0,,,,,B2B
Bandwidth Recruitment,,Hove,England,United Kingdom,"Hove, East Sussex",http://www.bandwidthrecruitment.com,2,484,2009,Staffing and Recruiting,https://www.linkedin.com/company/bandwidth-recruitment-ltd,"Bandwidth Recruitment is an independent specialist provider of permanent, contract and interim staff solely to the cards & payments sector.

Our track record of success can be attributed to many years recruitment experience combined with maturity and credibility. We have spent years working within the payments sector building an enviable network of contacts and successfully providing a first class recruitment service to clients and candidates alike.

We are constantly in touch with the best minds in the business in order to provide unparalleled service to our clients. Whether your requirements are for contingency recruitment or a full search and selection retained service, we provide a professional and creative offering to suit your needs.

Our network, combined with a thorough understanding of the payments lifecycle, means we can discuss our clients’ requirements with knowledge and accurately match them to the most appropriate candidates.

We work with many of the key players in the cards & payments sector. Our clients range from large international corporations to smaller privately owned organisations but the service remains the same – excellent and great value.",Privately Held,,2-10 employees,Cards and payments recruitment,0,"New Relic, YouTube, Eventbrite, Microsoft Office 365",,PAY 360,"Consulting, Human Resources, Insurance, Small and Medium Businesses,",B2B
VCV.AI,,Menlo Park,California,United States,"Menlo Park, California",http://vcv.ai/,40,877,2017,Information Technology and Services,https://www.linkedin.com/company/vcv-ai,"VCV automates 4 steps of recruitment in one framework unifying job posting, screening, assessing and video interviewing.",Privately Held,,11-50 employees,"assessment, recruitment, selection, hiring, HR, recruiting, automation, AI, proctoring, video resume, Videointerview",150000,Amazon SES,"Companies with a .AI domain, Growjo 10000, 500 Startups Portfolio",,"Artificial Intelligence, Recruiting, Human Resources, Speech Recognition, , Machine Learning",B2B
"Scalable Press Employees, Location, Careers",,Newark,California,United States,"Newark, California",https://scalablepress.com,112,11322,2012,Printing,https://www.linkedin.com/company/scalablepress,"At Scalable Press we're building the next generation of printing and fulfillment technologies. Our goal is to make custom merchandise fast, affordable, and accessible at any scale so you can focus on building your business.

How it works: A customer buys something from your store, and the order is automatically sent to us through the API. We fulfill the order at one of our four production facilities, and we ship the finished product to your customer. 

To learn more, visit scalablepress.com",Public Company,,501-1000 employees,"Promotional Products Supplier, Industrial Automation, Promotional Merchandise, ASI, Custom Printed Apparel, PPAI, Shopify Integration, Custom Printed Hard Goods, JIT Printing, Programmatic Printing, White-label Fulfillment",0,"HubSpot, New Relic, React, Salesforce, Sendgrid, Amazon SES, Amazon Route 53, Lever, LinkedIn Ads",,Integrated Systems Europe 2020,"Software Engineering, Retail Technology, Industrial Automation, , , Industrial Engineering",B2B B2C
Stuffwrap,,,,Unknown,Unknown,http://www.stuffwrap.com,0,21,2012,Information Services,https://www.linkedin.com/company/stuffwrap,Stuffwrap is a platform where you turn your wishes to have with the social networking where you don't miss your friends and the other people on the network. List your amazing product and wish what you want in future. You can also swap or sale your stuff among your friends. Share your thoughts about new stuff.,Public Company,,2-10 employees,"Sale and swap your stuff, Buying and selling, Create have list and wish list, B2c",0,Microsoft ASP.NET,,,"Information Services, Social Network,",B2C
VirtualExpo Careers and Current Employee Profiles,,Marseille,Provence-Alpes-Côte d'Azur,France,"Marseille, France",http://www.virtual-expo.com,185,3372,1999,Internet,https://www.linkedin.com/company/virtualexpo,"The VirtualExpo exhibitions are permanent online exhibitions with over 8 million monthly unique visitors browsing manufacturer booths and procuring the information they need: complete product specifications, videos and photos as well as the possibility to directly contact the manufacturer for quotes, distributors and further information.

VirtualExpo is the largest Online Exhibition regrouping 28 000 exhibitors, 1 000 000 products, 350 000 catalogs and 100 000 videos.

By enabling an international presence for manufacturers and allowing buyers to source products in 9 different languages, VirtualExpo verticals’ services are the answer to today's global market challenges.

They are the most comprehensive online sourcing tools on the market thanks to: the most exhaustive selection of high quality products presented under one roof; intuitive tools available to rapidly compare and select; location of the nearest point of sale made easy; the latest news of your choice directly in your inbox with bi-weekly product newsletters.

VirtualExpo verticals’ services are aimed at buyers, production managers, maintenance managers and consulting engineers, etc.

With VirtualExpo, all the information you are looking for is just a click away and accessible free of charge.

If you would like to receive more info on how to exhibit on VirtualExpo please visit:
http://www.virtual-expo.com/contact/",Privately Held,,51-200 employees,"Medical Devices, , Brand promotion, Architecture and Design, marketplace, Industrial Products, Web optimization, Global marketing solutions, Sales opportunities, Great place to work, Boating and maritime, Online international exhibitions expertise, salons en ligne",0,"Drupal, WordPress, Zendesk Support, Zendesk","Private Unicorn Companies, European Private Unicorns",,"Small and Medium Businesses, , SEO",B2B
asuro,,Frankfurt,Hesse,Germany,"Frankfurt am Main, Hessen",http://www.asuro.de,12,161,2015,Insurance,https://www.linkedin.com/company/asuro-gmbh,"asuro is a digital insurance broker that enables its clients to manage, track, and optimize all their insurance policies, premiums, and benefits. Via our in-app blog, we are offering our clients insights and recommendation with regards to insurance themes. Our insurance consultants and experts offer advice to all our customers 24/7 with a high degree of transparency and focus on customer satisfaction.",Privately Held,,11-50 employees,"Insurance, Start-ups, Brokerage, and InsurTech",0,,,,"Software, Insurance, ,",B2B B2C
nextcept,,,,Unknown,,https://www.nextcept.com,0,0,2019,Human Resources,https://www.linkedin.com/company/nextcept-llc,"We're building a new way to find people to work with.  Build venture teams, find new hires, the trick is focusing on who a person is rather than the typical - list what you've done and for how long.",Privately Held,,2-10 employees,"software, saas, cofounder dating, venture network, ideas",0,"Braintree, Java",,,", Career Planning",B2B
ClientsFirst,,Macclesfield,England,United Kingdom,Macclesfield,http://www.clients-first.co.uk,31,388,2010,Marketing and Advertising,https://www.linkedin.com/company/clientsfirst-ltd,"Dedicated to supporting B2B firms, ClientsFirst is a full service marketing agency.  We provide in-house services including; website development, consultancy, social media, SEO, PPC, creative design, PR, email marketing and content creation.

With clients across the UK,  our understanding of your market is what ensures we make the difference to your business.",Privately Held,,11-50 employees,"PR, Financial Services, Sales, Web Development, Branding, Web design and build, Social media, Marketing, Creative, Inbound, HubSpot, Marketing campaigns, Outsourced marketing department, Mobile web, Client communication, and Digital",0,"HubSpot, Hubspot Form Builder, LinkedIn Ads, Google AdWords",,Hubspot Inbound 2021,"Marketing, Business Development,",B2B
geo-Advantage,,Yaounde,Centre,Cameroon,"Yaoundé, Center",https://geo-advantage.com/,16,2106,2019,Information Technology and Services,https://www.linkedin.com/company/geo-advantage,"At geoAdvantage (A Home Made School affiliate), we strongly believe that well-processed DATA will increase your business efficiency. 

Approximately 80% of an organization’s data has a location component, we help you in their understanding not only through applied Location Analytics (with customized algorithms and ETL/ETLT processes) but also by Visualizing (Mapping) results to help you to have a great ADVANTAGE to forecast and thus, optimize your profits.

Location Intelligence :
➢ We use Machine Learning Algorithms and GIS Analytics Techniques to forecast and thus, optimize your company's profits by answerings questions like ""where are my consumers? where should I open a new store?""
➢ We use Advance GIS analytics Techniques to improve your business efficiency

Training :
➢ We provide onsite and online training in various software commonly used in the Geomatics Field.
We have 4.000+ students in 120+ countries around the world

GIS Consultation :
➢ Our technical expertise is at your disposal.
We have assisted our clients in the successful completion of several projects in sub-Saharan African Countries, in Canada and in New South Wales (Australia)",Privately Held,,11-50 employees,"Location Based Services, Data Analytics, consulting, Machine Learning, Geographic Information System, Location Intelligence, and Internet of Things",0,,,,"Consulting, Analytics, Location Based Services, Big Data, Internet of Things,",B2B
